term,basis,note
kosher,curated,named by Daniel 2026-09-22
shabbat,curated,named by Daniel 2026-09-22
kashrut,curated,named by Daniel 2026-09-22
shabbos,curated,variant of shabbat
challah,curated,English says it acceptably despite the het
hummus,dictionary,
tahini,curated,standard English menu word
falafel,curated,standard English menu word
pita,dictionary,
matzo,dictionary,
matzah,curated,variant of matzo
bagel,dictionary,
rabbi,dictionary,
rebbe,curated,variant of rabbi
synagogue,dictionary,
shul,curated,common in English-language Jewish usage
yeshiva,dictionary,
kibbutz,dictionary,
kibbutzim,curated,plural of kibbutz
moshav,curated,standard in English writing about Israel
chutzpah,dictionary,
kvetch,curated,English loanword
schlep,dictionary,
schmooze,curated,English loanword
klutz,curated,English loanword
mensch,curated,English loanword
torah,dictionary,
talmud,dictionary,
mishnah,curated,standard in English religious writing
chumash,dictionary,
midrash,curated,standard in English religious writing
seder,dictionary,
passover,dictionary,
pesach,curated,standard in English Jewish usage
hanukkah,dictionary,
chanukah,dictionary,variant spelling
sukkot,dictionary,
sukkah,curated,sibling of sukkot
purim,curated,standard in English Jewish usage
shavuot,curated,standard in English Jewish usage
yom kippur,curated,standard in English Jewish usage
rosh hashanah,curated,standard in English Jewish usage
simchat torah,curated,standard in English Jewish usage
tisha b'av,curated,standard in English Jewish usage
shiva,dictionary,the mourning period; English says it fine
menorah,dictionary,
dreidel,curated,standard English Hanukkah word
yarmulke,dictionary,
kippah,curated,standard in English Jewish usage
tallit,curated,standard in English religious writing
tefillin,curated,standard in English religious writing
mezuzah,curated,standard in English religious writing
mitzvah,curated,standard English loanword
mitzvot,curated,plural of mitzvah
bar mitzvah,curated,standard English loanword
bat mitzvah,curated,standard English loanword
brit milah,curated,standard in English Jewish usage
bris,curated,variant of brit milah
kaddish,curated,standard in English religious writing
shofar,curated,standard in English religious writing
goy,curated,English loanword
goyim,curated,plural of goy
shiksa,curated,English loanword
knesset,dictionary,routine in English news coverage
shekel,dictionary,
shekels,dictionary,plural
mossad,curated,routine in English news coverage
aliyah,curated,routine in English writing about Israel
sabra,curated,English loanword
kabbalah,curated,standard English loanword
hasidic,curated,standard English adjective
haredi,curated,routine in English news coverage; borderline
