term,category,status,quarantine_reason,hebrew_script,source
bubah,childcare,candidate,,,round2:deepseek-flash
dmei gan,childcare,candidate,,,round2:deepseek-flash
gan chova,childcare,candidate,,,round2:deepseek-flash
gan trom chova,childcare,candidate,,,round2:deepseek-flash
harshamah,childcare,candidate,,,round2:deepseek-flash
hatzaga,childcare,candidate,,,round2:deepseek-flash
hoda'a,childcare,candidate,,,round2:deepseek-flash
kadur,childcare,candidate,,,round2:deepseek-flash
kaduregel,childcare,candidate,,,round2:deepseek-flash
kadursal,childcare,candidate,,,round2:deepseek-flash
kaytana,childcare,candidate,,,round2:deepseek-flash
luach zmanim,childcare,candidate,,,round2:deepseek-flash
maon yom,childcare,candidate,,,round2:deepseek-flash
matana,childcare,candidate,,,round2:deepseek-flash
mesiba,childcare,candidate,,,round2:deepseek-flash
mischak,childcare,candidate,,,round2:deepseek-flash
mischakim,childcare,candidate,,,round2:deepseek-flash
moadon,childcare,candidate,,,round2:deepseek-flash
moadonit,childcare,candidate,,,round2:deepseek-flash
peilut,childcare,candidate,,,round2:deepseek-flash
peuton,childcare,candidate,,,round2:deepseek-flash
pinkas,childcare,candidate,,,round2:deepseek-flash
sadna,childcare,candidate,,,round2:deepseek-flash
saya'at,childcare,candidate,,,round2:deepseek-flash
tachposet,childcare,candidate,,,round2:deepseek-flash
trom chova,childcare,candidate,,,round2:deepseek-flash
tza'atzua,childcare,candidate,,,round2:deepseek-flash
tza'atzuim,childcare,candidate,,,round2:deepseek-flash
aish,colloquial,candidate,,,round2:deepseek-flash
b'kitzur,colloquial,candidate,,,round2:deepseek-flash
ba li,colloquial,candidate,,,round2:deepseek-flash
ben adam,colloquial,candidate,,,round2:deepseek-flash
bichlal,colloquial,candidate,,,round2:deepseek-flash
chevra,colloquial,candidate,,,round2:deepseek-flash
davka,colloquial,candidate,,,round2:deepseek-flash
efshar,colloquial,candidate,,,round2:deepseek-flash
harbe,colloquial,candidate,,,round2:deepseek-flash
i efshar,colloquial,candidate,,,round2:deepseek-flash
kacha,colloquial,candidate,,,round2:deepseek-flash
ktzat,colloquial,candidate,,,round2:deepseek-flash
mamash,colloquial,candidate,,,round2:deepseek-flash
nu,colloquial,candidate,,,round2:deepseek-flash
pitzutz,colloquial,candidate,,,round2:deepseek-flash
sof haderech,colloquial,candidate,,,round2:deepseek-flash
tachles,colloquial,candidate,,,round2:deepseek-flash
agra,documents,candidate,,,round2:deepseek-flash
bakasha,documents,candidate,,,round2:deepseek-flash
hatzharat,documents,candidate,,,round2:deepseek-flash
hazmana,documents,candidate,,,round2:deepseek-flash
iriya,documents,candidate,,,round2:deepseek-flash
ishur avoda,documents,candidate,,,round2:deepseek-flash
ishur bniya,documents,candidate,,,round2:deepseek-flash
ishur knisa,documents,candidate,,,round2:deepseek-flash
ishur yetzia,documents,candidate,,,round2:deepseek-flash
mas,documents,candidate,,,round2:deepseek-flash
mo'atza,documents,candidate,,,round2:deepseek-flash
rishayon,documents,candidate,,,round2:deepseek-flash
rishayon bniya,documents,candidate,,,round2:deepseek-flash
rishayon esek,documents,candidate,,,round2:deepseek-flash
rishayon neshek,documents,candidate,,,round2:deepseek-flash
rishayon rechev,documents,candidate,,,round2:deepseek-flash
sal briut,documents,candidate,,,round2:deepseek-flash
teudat ezrach,documents,candidate,,,round2:deepseek-flash
teudat gerushin,documents,candidate,,,round2:deepseek-flash
teudat lida,documents,candidate,,,round2:deepseek-flash
teudat limudim,documents,candidate,,,round2:deepseek-flash
teudat nisuin,documents,candidate,,,round2:deepseek-flash
teudat petira,documents,candidate,,,round2:deepseek-flash
teudat toshav,documents,candidate,,,round2:deepseek-flash
va'ad bayit,documents,candidate,,,round2:deepseek-flash
bagrut,education,candidate,,,round2:deepseek-flash
bchinah,education,candidate,,,round2:deepseek-flash
bchinot,education,candidate,,,round2:deepseek-flash
beit sefer,education,candidate,,,round2:deepseek-flash
chanich,education,candidate,,,round2:deepseek-flash
chanichim,education,candidate,,,round2:deepseek-flash
chativa,education,candidate,,,round2:deepseek-flash
chug,education,candidate,,,round2:deepseek-flash
chugim,education,candidate,,,round2:deepseek-flash
gan yeladim,education,candidate,,,round2:deepseek-flash
ganenet,education,candidate,,,round2:deepseek-flash
hakhanah,education,candidate,,,round2:deepseek-flash
kita,education,candidate,,,round2:deepseek-flash
kitot,education,candidate,,,round2:deepseek-flash
limudim,education,candidate,,,round2:deepseek-flash
madrich,education,candidate,,,round2:deepseek-flash
madricha,education,candidate,,,round2:deepseek-flash
maon,education,candidate,,,round2:deepseek-flash
maslul,education,candidate,,,round2:deepseek-flash
matkonet,education,candidate,,,round2:deepseek-flash
mechina,education,candidate,,,round2:deepseek-flash
megama,education,candidate,,,round2:deepseek-flash
mehanekh,education,candidate,,,round2:deepseek-flash
mehanekhet,education,candidate,,,round2:deepseek-flash
