term,category,status,quarantine_reason,hebrew_script,source,variants
shapira,beverages,active,,,english-hebrew-mixed-sentences,shapirah
cheshbon,bureaucracy,active,,,generated:deepseek-flash,kheshbon|heshbon
cheshbonit,bureaucracy,active,,,generated:deepseek-flash,kheshbonit|heshbonit
chiyuv,bureaucracy,active,,,generated:deepseek-flash,khiyuv|hiyuv
hafka'a,bureaucracy,active,,,generated:deepseek-flash,hafkaa|hafkaah
havara banka'it,bureaucracy,active,,,generated:deepseek-flash,havara bankait
kartis ashrai,bureaucracy,active,,,generated:deepseek-flash,kartis ashraih
kartis chov,bureaucracy,active,,,generated:deepseek-flash,kartis khov|kartis hov
kartis nekudot,bureaucracy,active,,,generated:deepseek-flash,
kaspomat,bureaucracy,active,,,generated:deepseek-flash,
kizuz,bureaucracy,active,,,generated:deepseek-flash,
mas hachnasa ashrai,bureaucracy,active,,,generated:deepseek-flash,mas hachnasa ashraih|mas hakhnasa ashrai|mas hahnasa ashrai
mas hachnasa chaverot,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa khaverot|mas hahnasa haverot
mas hachnasa chayav,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa khayav|mas hahnasa hayav
mas hachnasa chiyuv,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa khiyuv|mas hahnasa hiyuv
mas hachnasa chov,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa khov|mas hahnasa hov
mas hachnasa hafkaa,bureaucracy,active,,,generated:deepseek-flash,mas hachnasa hafkaah|mas hakhnasa hafkaa|mas hahnasa hafkaa
mas hachnasa halvaa,bureaucracy,active,,,generated:deepseek-flash,mas hachnasa halvaah|mas hakhnasa halvaa|mas hahnasa halvaa
mas hachnasa hashlamot,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa hashlamot|mas hahnasa hashlamot
mas hachnasa havara,bureaucracy,active,,,generated:deepseek-flash,mas hachnasa havarah|mas hakhnasa havara|mas hahnasa havara
mas hachnasa kartis,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa kartis|mas hahnasa kartis
mas hachnasa kizuz,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa kizuz|mas hahnasa kizuz
mas hachnasa mashkanta,bureaucracy,active,,,generated:deepseek-flash,mas hachnasa mashkantah|mas hakhnasa mashkanta|mas hahnasa mashkanta
mas hachnasa meshicha,bureaucracy,active,,,generated:deepseek-flash,mas hachnasa meshichah|mas hakhnasa meshikha|mas hahnasa meshiha
mas hachnasa mezakeh,bureaucracy,active,,,generated:deepseek-flash,mas hachnasa mezake|mas hakhnasa mezakeh|mas hahnasa mezakeh
mas hachnasa nikuim,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa nikuim|mas hahnasa nikuim
mas hachnasa ov,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa ov|mas hahnasa ov
mas hachnasa patur,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa patur|mas hahnasa patur
mas hachnasa pitura,bureaucracy,active,,,generated:deepseek-flash,mas hachnasa piturah|mas hakhnasa pitura|mas hahnasa pitura
mas hachnasa ribit,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa ribit|mas hahnasa ribit
mas hachnasa shelo mitzvot,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa shelo mitzvot|mas hahnasa shelo mitzvot|mas hachnasa shelo mitsvot|mas hachnasa shelo mizvot
mas hachnasa tashlumim,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa tashlumim|mas hahnasa tashlumim
mas hachnasa yechidim,bureaucracy,active,,,generated:deepseek-flash,mas hakhnasa yekhidim|mas hahnasa yehidim
mas hachnasa zikui,bureaucracy,active,,,generated:deepseek-flash,mas hachnasa zikuih|mas hakhnasa zikui|mas hahnasa zikui
mas keniyot,bureaucracy,active,,,generated:deepseek-flash,
mas rechush,bureaucracy,active,,,generated:deepseek-flash,mas rechus|mas rekhush|mas rehush
mas shevach,bureaucracy,active,,,generated:deepseek-flash,mas shevac|mas shevakh|mas shevah
mas zikui,bureaucracy,active,,,generated:deepseek-flash,mas zikuih
mashkanta,bureaucracy,active,,,generated:deepseek-flash,mashkantah
meshicha,bureaucracy,active,,,generated:deepseek-flash,meshichah|meshikha|meshiha
osek murshe,bureaucracy,active,,,generated:deepseek-flash,osek mursheh
osek patur,bureaucracy,active,,,generated:deepseek-flash,
ov,bureaucracy,active,,,generated:deepseek-flash,
pikuadon,bureaucracy,active,,,generated:deepseek-flash,
ribit,bureaucracy,active,,,generated:deepseek-flash,
tofes 101,bureaucracy,active,,,generated:deepseek-flash,
tofes 106,bureaucracy,active,,,generated:deepseek-flash,
tofes 126,bureaucracy,active,,,generated:deepseek-flash,
tofes 1301,bureaucracy,active,,,generated:deepseek-flash,
tofes 1302,bureaucracy,active,,,generated:deepseek-flash,
tofes 1303,bureaucracy,active,,,generated:deepseek-flash,
tofes 1304,bureaucracy,active,,,generated:deepseek-flash,
tofes 1305,bureaucracy,active,,,generated:deepseek-flash,
tofes 1306,bureaucracy,active,,,generated:deepseek-flash,
tofes 1307,bureaucracy,active,,,generated:deepseek-flash,
tofes 1308,bureaucracy,active,,,generated:deepseek-flash,
tofes 1309,bureaucracy,active,,,generated:deepseek-flash,
tofes 1310,bureaucracy,active,,,generated:deepseek-flash,
tofes 1311,bureaucracy,active,,,generated:deepseek-flash,tofes 1331
tofes 1312,bureaucracy,active,,,generated:deepseek-flash,
tofes 1313,bureaucracy,active,,,generated:deepseek-flash,
tofes 1314,bureaucracy,active,,,generated:deepseek-flash,
tofes 1315,bureaucracy,active,,,generated:deepseek-flash,
tofes 1316,bureaucracy,active,,,generated:deepseek-flash,
tofes 1317,bureaucracy,active,,,generated:deepseek-flash,
tofes 1318,bureaucracy,active,,,generated:deepseek-flash,
tofes 1319,bureaucracy,active,,,generated:deepseek-flash,
tofes 1320,bureaucracy,active,,,generated:deepseek-flash,
tofes 1321,bureaucracy,active,,,generated:deepseek-flash,
tofes 1322,bureaucracy,active,,,generated:deepseek-flash,tofes 1332
tofes 1323,bureaucracy,active,,,generated:deepseek-flash,
tofes 1324,bureaucracy,active,,,generated:deepseek-flash,
tofes 1325,bureaucracy,active,,,generated:deepseek-flash,
tofes 1326,bureaucracy,active,,,generated:deepseek-flash,
tofes 1327,bureaucracy,active,,,generated:deepseek-flash,
tofes 1328,bureaucracy,active,,,generated:deepseek-flash,
tofes 1329,bureaucracy,active,,,generated:deepseek-flash,
tofes 1330,bureaucracy,active,,,generated:deepseek-flash,
tofes 1333,bureaucracy,active,,,generated:deepseek-flash,
